,Links,Status
0,https://www.telegraph.co.uk/sport/football/teams/manchester-united/9359543/Wayne-Rooneys-turns-his-focus-to-Manchester-United-after-Euro-2012-failure-with-England.html,0
2,https://www.dailymail.co.uk/tvshowbiz/article-2165899/Wayne-Rooney-tweets-photo-Coleen-enjoy-romantic-meal-Los-Angeles.html,0
3,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-18590916,0
5,https://www.dailyrecord.co.uk/news/scottish-news/sir-alex-ferguson-in-moving-tribute-1131613,0
7,https://bleacherreport.com/articles/1237652-lionel-messi-is-so-cute-when-hes-lashing-out-against-losing,0
9,https://www.dailymail.co.uk/sport/euro2012/article-2165976/Ashley-Cole-Ashley-Young-racism-tweeters-given-police-lecture.html,0
11,https://www.dailymail.co.uk/sport/tennis/article-2165132/Wimbledon-2012-Anne-Keothavong-round-two.html,0
13,https://www.telegraph.co.uk/sport/football/teams/portugal/9360794/Euro-2012-It-will-haunt-Portugal-talisman-Cristiano-Ronaldo-why-didnt-he-take-the-first-penalty.html,0
15,https://www.mirror.co.uk/sport/football/martin-lipton-on-david-beckhams-olympics-943880,0
17,https://www.dailymail.co.uk/news/article-2165959/GB-Olympic-football-team-Gary-Lineker-leads-complaints-David-Beckham-left-out.html,0
18,https://www.telegraph.co.uk/sport/football/teams/manchester-united/9328360/Manchester-Uniteds-new-boy-Nick-Powell-excited-to-continue-learning-trade-under-Sir-Alex-Ferguson.html,0
20,https://www.mirror.co.uk/sport/football/news/new-manchester-united-signing-nick-881451,0
21,https://www.bbc.co.uk/sport/football/18396573,0
22,https://www.itv.com/news/granada/2012-06-12/manchester-united-sign-crewe-youngster-nick-powell/,0
23,https://www.independent.co.uk/sport/football/premier-league/shinji-kagawa-wants-to-play-in-the-hole-for-manchester-united-7847661.html,0
25,https://bleacherreport.com/articles/1214026-five-reasons-why-ligue-1-will-be-as-strong-as-the-premier-league-in-10-years,0
27,https://www.express.co.uk/sport/football/326062/Ukraine-2-Sweden-1-Andriy-Shevchenko-lifts-Ukraine,0
29,https://www.dailymail.co.uk/sport/euro2012/article-2157340/Ukraine-v-Sweden--Euro-2012-live.html,0
30,https://www.marca.com/2012/06/12/futbol/futbol_internacional/1339530414.html,0
32,https://www.dailymail.co.uk/sport/golf/article-2158550/US-Open-2012-Rory-McIlroy-throws-ceremonial-pitch-San-Francisco-Giants.html,0
34,https://www.dailymail.co.uk/tvshowbiz/article-2157412/Georgina-Dorsett-whisked-away-romantic-holiday-Dubai-toyboy-Manchester-United-footballer-Tom-Cleverley.html,0
36,https://www.dailymail.co.uk/sport/euro2012/article-2158816/Euro-2012-Jordan-Henderson-ready-play-Steven-Gerrard-Scott-Parker-cant.html,0
