,First Name,Last Name,Team,Start Date,End Date
0,Maurizio,Sarri,Chelsea FC,2019-06-26,2019-06-29
1,Rafael,Benítez,Newcastle United,2019-06-26,2019-06-29
2,Chris,Hughton,Brighton & Hove Albion,2019-05-09,2019-05-12
3,Ole,Solskjaer,Manchester United,2019-03-24,2019-03-27
4,Claudio,Ranieri,Fulham FC,2019-02-24,2019-02-27
5,Mike,Stowell,Leicester City,2019-02-22,2019-02-25
6,Claude,Puel,Leicester City,2019-02-20,2019-02-23
7,Mark,Hudson,Huddersfield Town,2019-01-17,2019-01-20
8,David,Wagner,Huddersfield Town,2019-01-10,2019-01-13
9,José,Mourinho,Manchester United,2018-12-14,2018-12-17
10,Kelvin,Davis,Southampton FC,2018-12-01,2018-12-04
11,Mark,Hughes,Southampton FC,2018-11-29,2018-12-02
12,Slavisa,Jokanovic,Fulham FC,2018-11-10,2018-11-13
13,Antonio,Conte,Chelsea FC,2018-07-09,2018-07-12
14,Carlos,Carvalhal,Swansea City,2018-06-26,2018-06-29
15,Arsene,Wenger,Arsenal FC,2018-06-26,2018-06-29
16,Darren,Moore,West Bromwich Albion,2018-05-14,2018-05-17
17,Paul,Lambert,Stoke City,2018-05-14,2018-05-17
18,Sam,Allardyce,Everton FC,2018-05-12,2018-05-15
19,David,Moyes,West Ham United,2018-05-12,2018-05-15
20,Alan,Pardew,West Bromwich Albion,2018-03-29,2018-04-01
21,Mauricio,Pellegrino,Southampton FC,2018-03-08,2018-03-11
22,Marco,Silva,Watford FC,2018-01-17,2018-01-20
23,Eddie,Niedzwiecki,Stoke City,2018-01-11,2018-01-14
24,Mark,Hughes,Stoke City,2018-01-02,2018-01-05
25,Leon,Britton,Swansea City,2017-12-24,2017-12-27
26,Paul,Clement,Swansea City,2017-12-16,2017-12-19
27,David,Unsworth,Everton FC,2017-11-26,2017-11-29
28,Gary,Megson,West Bromwich Albion,2017-11-25,2017-11-28
29,Tony,Pulis,West Bromwich Albion,2017-11-16,2017-11-19
30,Slaven,Bilic,West Ham United,2017-11-02,2017-11-05
31,Michael,Appleton,Leicester City,2017-10-21,2017-10-24
32,Ronald,Koeman,Everton FC,2017-10-19,2017-10-22
33,Craig,Shakespeare,Leicester City,2017-10-13,2017-10-16
34,Frank,de Boer,Crystal Palace,2017-09-07,2017-09-10
35,Claude,Puel,Southampton FC,2017-06-10,2017-06-13
36,Steve,Agnew,Middlesbrough FC,2017-06-04,2017-06-07
37,Marco,Silva,Hull City,2017-05-21,2017-05-24
38,Sam,Allardyce,Crystal Palace,2017-05-19,2017-05-22
39,Walter,Mazzarri,Watford FC,2017-05-18,2017-05-21
40,David,Moyes,Sunderland AFC,2017-05-18,2017-05-21
41,Aitor,Karanka,Middlesbrough FC,2017-03-12,2017-03-15
42,Claudio,Ranieri,Leicester City,2017-02-19,2017-02-22
